,count,mean,std,min,25%,50%,75%,max
depolarizing_noise,13671.0,0.09,0.053667594322103475,0.0,0.042,0.09,0.138,0.18
phase_noise,13671.0,0.09999999999999999,0.06055522185516547,0.0,0.05,0.1,0.15,0.2
attack_intensity,13671.0,0.5,0.3027761092758274,0.0,0.25,0.5,0.75,1.0
qber,13671.0,0.11180000000000001,0.0444840377346993,0.0,0.07906000000000002,0.11022,0.142993,0.24220000000000003
entropy,13671.0,0.49020606931705435,0.13681838828928158,4.130580026464068e-11,0.39885835071897624,0.5005791881501456,0.5920238554465638,0.7986797012007837
key_rate,13671.0,0.12058376250923485,0.17718667289255507,0.0,0.0,0.0,0.20228329856204746,0.9999999999173884
channel_loss,13671.0,0.5,0.21827672630001324,0.0,0.33689839572192515,0.5,0.6631016042780749,1.0
ai_attack_likelihood,13671.0,0.38904962448062613,0.1644548943616652,0.08043268770399907,0.2511762418125364,0.3694554483318663,0.5147882885538013,0.9250603591323772
lagrangian_base,13671.0,0.34471777787927854,0.13227484570050477,-0.08749999996902066,0.2566475382450958,0.35841468202742977,0.43560256243865425,0.7108029852033686
